company_name,high,low,last_price,prev_close,change,percent_gain
Tata Steel,131.34,128.55,130.64,128.62,2.02,1.57
Tata Steel,131.34,128.55,130.64,128.62,2.02,1.57
Cochin Shipyard,"1,459.95","1,416.05","1,431.05","1,409.45",21.60,1.53
Cochin Shipyard,"1,459.95","1,416.05","1,431.05","1,409.45",21.60,1.53
Kalyan Jeweller,451.95,434.30,444.75,438.05,6.70,1.53
LIC India,835.55,820.25,831.15,818.65,12.50,1.53
Mazagon Dock,"2,410.00","2,328.30","2,357.50","2,322.70",34.80,1.5
Mazagon Dock,"2,410.00","2,328.30","2,357.50","2,322.70",34.80,1.5
Quess Corp,596.70,579.85,592.00,583.30,8.70,1.49
TCS,"4,107.85","4,054.00","4,100.15","4,040.30",59.85,1.48
Kirloskar Bros,"1,787.30","1,734.00","1,779.90","1,754.20",25.70,1.47
Power Grid Corp,289.15,283.30,288.10,283.95,4.15,1.46
Tata Power,352.45,345.00,351.40,346.35,5.05,1.46
Adani Enterpris,"2,326.25","2,282.60","2,318.70","2,286.05",32.65,1.43
RHI Magnesita,484.50,464.10,471.00,464.35,6.65,1.43
Union Bank,113.74,110.29,112.15,110.57,1.58,1.43
Pfizer,"4,521.25","4,425.05","4,486.20","4,423.30",62.90,1.42
Route,"1,217.00","1,156.30","1,208.30","1,191.40",16.90,1.42
Alembic Pharma,913.00,885.00,910.95,898.30,12.65,1.41
Hero Motocorp,"4,114.80","4,033.05","4,083.00","4,026.35",56.65,1.41
Trent,"5,604.85","5,415.70","5,531.95","5,455.10",76.85,1.41
Syngene Intl,755.95,735.85,754.50,744.00,10.50,1.41
Narayana Hruda,"1,289.00","1,265.20","1,286.65","1,269.10",17.55,1.38
ICICI Prudentia,611.35,598.95,608.50,600.30,8.20,1.37
SJVN,93.22,89.69,91.17,89.95,1.22,1.36
LIC Housing Fin,583.45,572.00,578.20,570.50,7.70,1.35
AAVAS Financier,"1,699.70","1,670.10","1,695.00","1,672.60",22.40,1.34
SBI Card,776.85,721.00,769.25,759.10,10.15,1.34
Alok Industries,18.65,18.15,18.39,18.15,0.24,1.32
J. K. Cement,"4,970.00","4,801.95","4,895.20","4,831.20",64.00,1.32
C. E. Info Syst,"1,654.40","1,611.70","1,637.50","1,616.40",21.10,1.31
Hindalco,584.60,571.60,581.25,573.85,7.40,1.29
Adani Ports,"1,100.90","1,074.50","1,094.65","1,080.70",13.95,1.29
Home First,987.00,938.00,974.25,961.95,12.30,1.28
Vinati Organics,"1,643.00","1,600.40","1,624.20","1,603.65",20.55,1.28
AIA Engineering,"3,675.00","3,591.00","3,665.00","3,619.15",45.85,1.27
Mastek,"2,515.40","2,436.05","2,486.50","2,455.55",30.95,1.26
Vedanta,432.35,424.30,430.65,425.35,5.30,1.25
Westlife Food,724.70,707.10,718.65,709.85,8.80,1.24
Jio Financial,237.90,233.00,236.30,233.40,2.90,1.24
Eris Life,"1,170.50","1,144.15","1,169.95","1,155.85",14.10,1.22
CenturyPlyboard,786.30,766.95,784.65,775.35,9.30,1.2
Adani Wilmar,266.70,258.60,263.70,260.60,3.10,1.19
Kajaria Ceramic,"1,018.30",983.15,"1,001.10",989.30,11.80,1.19
KNR Construct,293.45,283.50,289.75,286.35,3.40,1.19
SAIL,105.17,103.00,104.04,102.84,1.20,1.17
Adani Power,509.65,496.90,502.95,497.20,5.75,1.16
Rainbow Child,"1,395.00","1,366.60","1,390.75","1,374.85",15.90,1.16
Aadhar Housing ,396.95,378.00,395.55,391.10,4.45,1.14
Go Digit,305.70,288.15,297.95,294.60,3.35,1.14
IndusInd Bank,946.60,931.95,944.75,934.15,10.60,1.13
Karur Vysya,229.50,225.51,227.44,224.90,2.54,1.13
SUMITOMO,509.00,492.10,503.00,497.40,5.60,1.13
Titan Company,"3,375.00","3,309.05","3,363.50","3,325.90",37.60,1.13
KFin Tech,"1,101.50","1,047.25","1,084.95","1,073.05",11.90,1.11
Container Corp,750.00,738.00,746.10,738.15,7.95,1.08
Escorts Kubota,"3,540.00","3,474.90","3,520.55","3,483.60",36.95,1.06
RITES,256.95,247.95,251.50,248.85,2.65,1.06
Rajesh Exports,194.73,187.05,189.01,187.05,1.96,1.05
Guj State Petro,344.70,334.85,338.60,335.10,3.50,1.04
RBL Bank,159.95,155.50,157.18,155.56,1.62,1.04
Jindal Steel,855.85,836.70,849.75,841.10,8.65,1.03
Data Patterns,"2,123.55","2,030.00","2,086.90","2,066.00",20.90,1.01
Sapphire Foods,296.00,284.65,289.85,286.95,2.90,1.01
Sapphire Foods,296.00,284.65,289.85,286.95,2.90,1.01
Redington,209.40,199.20,204.92,202.90,2.02,1
Balkrishna Ind,"2,750.00","2,682.50","2,733.00","2,706.15",26.85,0.99
P and G,"14,297.30","14,054.05","14,297.30","14,156.75",140.55,0.99
Aster DM Health,478.90,466.95,478.10,473.45,4.65,0.98
Adani Total Gas,628.00,613.05,622.00,616.05,5.95,0.97
Colgate,"2,764.35","2,630.45","2,705.50","2,679.40",26.10,0.97
Tanla Platforms,581.60,550.45,553.80,548.50,5.30,0.97
Apollo Hospital,"6,795.00","6,697.25","6,773.55","6,708.95",64.60,0.96
Sobha,"1,315.00","1,235.00","1,292.60","1,280.30",12.30,0.96
Carborundum,"1,160.00","1,126.95","1,155.60","1,144.70",10.90,0.95
Nippon,588.95,567.25,574.80,569.45,5.35,0.94
ONGC,251.99,247.00,250.91,248.68,2.23,0.9
Sona BLW,511.95,493.35,501.50,497.20,4.30,0.86
Blue Dart,"6,471.00","6,349.50","6,403.75","6,349.50",54.25,0.85
IOB,50.34,49.45,49.90,49.49,0.41,0.83
NTPC,322.20,313.30,320.90,318.25,2.65,0.83
Rashtriya Chem,157.68,152.51,153.71,152.48,1.23,0.81
SBFC Finance,85.43,84.27,84.81,84.13,0.68,0.81
V-Guard Ind,363.60,348.85,356.65,353.80,2.85,0.81
Gland,"1,508.00","1,480.00","1,498.20","1,486.25",11.95,0.8
Valor Estate,161.92,156.90,157.80,156.56,1.24,0.79
SBI,760.80,749.80,758.15,752.40,5.75,0.76
